qpu,n,shots_per_circuit,circuits,total_shots,task_rate_dollars,shot_rate_dollars,cost_dollars,within_20_dollar_cap,classical_bound,quantum_bound,ideal_quantum_advantage,readout_e0,readout_e1,readout_source,delta_mode,predicted_delta,expected_win_rate,margin_above_classical,physics_possible,certification_power,certification_power_percent,expected_p_value,passes_3sigma_at_expectation
emerald,3,10,6,60,0.3,0.0016,1.896,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.02164615220283755,2.164615220283755,0.10807126010622699,False
emerald,3,20,6,120,0.3,0.0016,1.9919999999999998,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.21570852933119575,21.570852933119575,0.013931433789253739,False
emerald,3,30,6,180,0.3,0.0016,2.088,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.40525957596287054,40.52595759628706,0.0040434343591076215,False
emerald,3,40,6,240,0.3,0.0016,2.184,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.6348936621828789,63.48936621828789,0.0006119586079603848,True
emerald,3,50,6,300,0.3,0.0016,2.2800000000000002,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.785419170272077,78.5419170272077,0.00019109152936223921,True
emerald,3,60,6,360,0.3,0.0016,2.3760000000000003,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.8763625241630741,87.63625241630741,3.0320511975656116e-05,True
emerald,3,70,6,420,0.3,0.0016,2.472,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9294471428100387,92.94471428100387,9.746391504911836e-06,True
emerald,3,80,6,480,0.3,0.0016,2.568,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9599333931763223,95.99333931763223,1.582364143530639e-06,True
emerald,3,90,6,540,0.3,0.0016,2.664,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9837770904917827,98.37770904917828,5.166575308061375e-07,True
emerald,3,100,6,600,0.3,0.0016,2.76,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9936312043433952,99.36312043433952,8.50308790530424e-08,True
emerald,3,110,6,660,0.3,0.0016,2.856,True,0.8333333333333334,0.9330127018922194,0.09967936855888604,0.0013,0.028,"our probe, 2026-08-20; e1 includes prep error",published,0.025002807256436554,0.9080098946357829,0.07467656130244948,True,0.9964391654006662,99.64391654006663,2.8036741097587736e-08,True
